title;author;description
The Great Gatsby;F. Scott Fitzgerald;A story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.
1984;George Orwell;A dystopian social science fiction novel and cautionary tale.
To Kill a Mockingbird;Harper Lee;A novel about the serious issues of rape and racial inequality.
The Catcher in the Rye;J.D. Salinger;A story about Holden Caulfield's journey through New York City.
Pride and Prejudice;Jane Austen;A romantic novel of manners written by Jane Austen.
The Hobbit;J.R.R. Tolkien;A fantasy novel and children's book.
Fahrenheit 451;Ray Bradbury;A dystopian novel about a future American society where books are outlawed.
Animal Farm;George Orwell;An allegorical novella about a group of farm animals who rebel against their human farmer.
Brave New World;Aldous Huxley;A dystopian social science fiction novel.
The Grapes of Wrath;John Steinbeck;A novel about a poor family of tenant farmers driven from their Oklahoma home.
Lord of the Flies;William Golding;A story about a group of British boys stranded on an uninhabited island.
The Chronicles of Narnia;C.S. Lewis;A series of seven fantasy novels.
Jane Eyre;Charlotte Brontë;A novel by English writer Charlotte Brontë.
Wuthering Heights;Emily Brontë;A novel by Emily Brontë.
Moby-Dick;Herman Melville;A novel by American writer Herman Melville.
War and Peace;Leo Tolstoy;A novel by the Russian author Leo Tolstoy.
Crime and Punishment;Fyodor Dostoevsky;A novel by the Russian author Fyodor Dostoevsky.
The Brothers Karamazov;Fyodor Dostoevsky;The final novel by the Russian author Fyodor Dostoevsky.
Les Misérables;Victor Hugo;A French historical novel by Victor Hugo.
Don Quixote;Miguel de Cervantes;A Spanish novel by Miguel de Cervantes.
